x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
abs 3 6 0.138 0.138 0.138 0.584 0.534 3. 115.71 84.055 4.419 442 240 438
abs 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.471 16 16 12
abs 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.508 0 0 0
abs 3 6 0.207 0.217 0.207 1.643 1.643 3. 125.557 109.201 4.475 438 183 438
abs 3 6 0.465 0.504 0.465 1.415 1.495 3. 70.593 57.135 4.471 128 119 128
abs 3 6 0.465 0.465 0.465 0. 0. 3. 0. 0. 4.537 31 31 31
abs 3 6 0.445 0.445 0.445 0. 0. 3. 0. 0. 4.498 111 99 109
abs 3 6 0. 0. 0. 1. 1. 3. 39.5 39.5 4.521 0 0 0
abs 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.392 0 0 0
abs 3 6 0.544 0.544 0.544 0. 0. 3. 0. 0. 4.491 36 36 28
abs 3 6 0.514 0.514 0.514 0. 0. 3. 0. 0. 4.65 36 36 31
abs 3 6 0.445 0.445 0.445 0. 0. 3. 0. 0. 4.511 31 31 31
abs 3 6 0.524 0.524 0.524 0.009 0.009 3. 46. 46. 4.561 31 31 31
abs 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.445 0 0 0
abs 3 6 0.514 0.514 0.514 1.514 1.514 3. 178.514 146.836 4.435 348 297 344
abs 3 6 0.445 0.445 0.445 0. 0. 3. 0. 0. 4.561 31 31 31
abs 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.491 0 0 0
abs 3 6 0.346 0.346 0.346 0.91 0.91 3. 75.605 59.833 4.488 180 110 180
abs 3 6 0.475 0.475 0.475 0. 0. 3. 0. 0. 4.448 31 31 31
abs 3 6 0.386 0.386 0.386 1.336 1.336 3. 174.057 114.817 4.363 470 470 344
abs 3 6 0.495 0.495 0.495 0. 0. 3. 0. 0. 4.511 30 30 28
abs 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.524 0 0 0
abs 3 6 0.445 0.445 0.445 1.019 1.019 3. 70.792 70.287 4.429 123 97 119
abs 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.462 0 0 0
abs 3 6 0.534 0.534 0.534 1.534 1.534 3. 185.806 109.549 4.475 470 470 332
abs 3 6 0.108 0.108 0.108 1.722 1.683 3. 106.801 98.131 4.541 438 200 438
abs 3 6 0. 0. 0. 1. 1. 3. 22. 22. 4.366 0 0 0
abs 3 6 0.524 0.524 0.524 0. 0. 3. 0. 0. 4.412 31 31 31
abs 3 6 0.554 0.554 0.554 3.108 3.108 3. 188.517 130.445 4.653 468 285 344
