x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
abs 3 6 0.138 0.138 0.138 1. 0.445 3. 251.247 75.022 4.419 442 240 438
abs 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.471 16 16 12
abs 3 6 0. 0. 0. 1. 0. 3. 64. 0. 4.508 114 58 114
abs 3 6 0.207 0.217 0.207 2. 1.267 3. 199.009 94.375 4.475 438 183 438
abs 3 6 0.465 0.504 0.465 1. 0.99 3. 109.99 55.91 4.471 132 119 128
abs 3 6 0.465 0.465 0.465 0. 0. 3. 0. 0. 4.537 31 31 31
abs 3 6 0.445 0.445 0.445 0. 0. 3. 0. 0. 4.498 121 112 119
abs 3 6 0. 0. 0. 1. 1. 3. 73. 37. 4.521 118 75 114
abs 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.392 113 89 220
abs 3 6 0.544 0.544 0.544 0. 0. 3. 0. 0. 4.491 36 36 31
abs 3 6 0.514 0.514 0.514 0. 0. 3. 0. 0. 4.65 36 36 31
abs 3 6 0.445 0.445 0.445 0. 0. 3. 0. 0. 4.511 31 31 31
abs 3 6 0.524 0.524 0.524 0.009 0.009 3. 64. 46. 4.561 106 65 102
abs 3 6 0. 0. 0. 1. 0. 3. 58. 0. 4.445 102 58 90
abs 3 6 0.514 0.514 0.514 1. 1. 3. 246.92 123.039 4.435 516 297 512
abs 3 6 0.445 0.445 0.445 0. 0. 3. 0. 0. 4.561 31 31 31
abs 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.491 128 104 126
abs 3 6 0.346 0.346 0.346 1. 0.564 3. 108.97 58.21 4.488 180 110 180
abs 3 6 0.475 0.475 0.475 0. 0. 3. 0. 0. 4.448 31 31 31
abs 3 6 0.386 0.386 0.386 1. 0.95 3. 385.435 98.895 4.363 520 470 512
abs 3 6 0.495 0.495 0.495 0. 0. 3. 0. 0. 4.511 31 31 31
abs 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.524 21 21 21
abs 3 6 0.445 0.445 0.445 1. 1. 3. 66.158 64.772 4.429 132 97 128
abs 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.462 113 89 220
abs 3 6 0.534 0.534 0.534 1. 1. 3. 385.584 96.386 4.475 492 470 488
abs 3 6 0.108 0.108 0.108 2. 1.504 3. 207.524 82.93 4.541 438 200 438
abs 3 6 0. 0. 0. 1. 1. 3. 75. 27. 4.366 114 75 114
abs 3 6 0.524 0.524 0.524 0. 0. 3. 0. 0. 4.412 31 31 31
abs 3 6 0.554 0.554 0.554 2. 2. 3. 322.004 113.257 4.653 480 285 464
abs 3 6 0.564 0.564 0.564 0.009 0.009 3. 66. 48. 4.386 118 73 114
abs 3 6 0.495 0.495 0.495 1. 1. 3. 104.821 52.683 4.6 128 107 128
abs 3 6 0.435 0.435 0.435 1. 0.554 3. 188.089 102.535 4.491 520 282 512
abs 3 6 0. 0. 0. 1. 0. 3. 64. 0. 4.537 114 58 114
abs 3 6 0.108 0.108 0.108 2. 1.603 3. 214.361 77.98 4.617 438 215 438
abs 3 6 0. 0. 0. 1. 1. 3. 77. 38.5 4.336 106 71 102
abs 3 6 0.524 0.524 0.524 1. 1. 3. 70.831 67.435 4.442 128 109 128
abs 3 6 0.524 0.524 0.524 0. 0. 3. 0. 0. 4.58 36 36 31
abs 3 6 0.495 0.495 0.495 0. 0. 3. 0. 0. 4.475 36 36 31
abs 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.429 20 20 18
abs 3 6 0.297 0.297 0.297 1. 0.594 3. 109.128 57.783 4.587 180 110 180
abs 3 6 0.495 0.495 0.495 0. 0. 3. 0. 0. 4.537 31 31 31
abs 3 6 0.168 0.168 0.168 1. 0.514 3. 236.396 70.538 4.557 442 240 438
