x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
6 3 3 0. 0. 0. 0.333 0. 3. 172. 0. 3.567 172 168 143
6 3 3 0. 0. 0. 1. 0. 3. 68.5 0. 3.468 159 56 137
6 3 3 0.25 0.25 0.25 0.25 0.25 3. 44. 24. 3.531 79 56 71
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.491 50 50 48
6 3 3 0. 0. 0. 2. 2. 3. 348.5 156.5 3.448 378 374 356
6 3 3 0. 0. 0. 1.333 0.666 3. 341.75 154.5 3.528 608 313 586
6 3 3 0. 0. 0. 1. 0. 3. 77. 0. 3.481 111 71 103
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.485 117 105 115
6 3 3 0.333 0.333 0.333 0. 0. 3. 0. 0. 3.511 73 61 71
6 3 3 0.415 0.415 0.415 1. 1. 3. 93.168 93.168 3.455 155 155 149
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.518 46 38 38
6 3 3 0. 0. 0. 0.5 0.5 3. 23. 23. 3.521 39 39 37
6 3 3 0. 0. 0. 2. 1.666 3. 703. 245.833 3.478 1382 772 1360
6 3 3 0.666 0.666 0.666 0.333 0.333 3. 26. 26. 3.488 30 30 22
6 3 3 0.9 0.9 0.9 0.99 0.99 3. 55.51 55.51 3.537 61 61 54
6 3 3 0.25 0.25 0.25 0. 0. 3. 0. 0. 3.511 25 25 25
6 3 3 0.475 0.475 0.475 0.97 0.97 3. 168.704 167.336 3.481 364 291 360
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.534 37 37 31
6 3 3 0.554 0.554 0.554 2. 1.594 3. 179.366 63.277 3.478 325 131 303
6 3 3 0.435 0.435 0.435 0. 0. 3. 0. 0. 3.468 25 25 22
6 3 3 1. 1. 1. 1. 1. 3. 13. 13. 3.511 17 17 15
6 3 3 0.415 0.415 0.415 0. 0. 3. 0. 0. 3.478 25 25 22
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.475 50 50 48
6 3 3 0.405 0.405 0.405 0.019 0.019 3. 84. 84. 3.455 105 105 99
6 3 3 0. 0. 0. 1. 0. 3. 51.5 0. 3.488 96 64 86
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.547 32 30 30
6 3 3 1. 1. 1. 1. 1. 3. 10. 10. 3.481 18 18 18
6 3 3 0. 0. 0. 0.99 0.594 3. 291.65 208.716 3.445 491 333 483
6 3 3 0. 0. 0. 0.5 0.5 3. 78. 44. 3.475 88 79 84
6 3 3 0.333 0.333 0.333 0.333 0.333 3. 22. 12. 3.468 42 42 40
6 3 3 0.247 0.247 0.247 1. 0.495 3. 71.821 32.5 3.528 116 73 112
6 3 3 0. 0. 0. 0.333 0.333 3. 109. 66. 3.557 161 109 153
6 3 3 0.455 0.455 0.455 0.99 0.99 3. 175.02 87.51 3.518 176 170 148
6 3 3 0. 0. 0. 2. 1.5 3. 122.5 63.25 3.485 217 111 195
6 3 3 0. 0. 0. 1. 1. 3. 414.5 224.25 3.518 586 462 578
6 3 3 0. 0. 0. 1. 1. 3. 200. 84.5 3.554 404 400 398
6 3 3 0.158 0.158 0.158 0.99 0.435 3. 97.86 52.431 3.471 144 99 138
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.471 87 87 115
6 3 3 0.099 0.099 0.099 1.98 1.544 3. 422.05 154.46 3.508 1060 316 1038
6 3 3 0.5 0.564 0.5 0.5 0.009 3. 47. 20. 3.491 132 128 126
6 3 3 0. 0. 0. 1. 0. 3. 174. 0. 3.481 327 174 313
6 3 3 0. 0. 0. 2. 1. 3. 209.5 122. 3.528 305 246 283
6 3 3 0. 0. 0. 2. 1.5 3. 541. 220.75 3.491 1267 662 1245
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.504 50 50 48
6 3 3 0. 0. 0. 2. 2. 3. 683. 216. 3.521 822 822 387
6 3 3 0. 0. 0. 1. 1. 3. 90. 31. 3.544 101 90 93
6 3 3 0.333 0.333 0.333 0. 0. 3. 0. 0. 3.508 22 22 22
6 3 3 0.455 0.455 0.455 0.009 0.009 3. 25. 25. 3.471 30 30 23
6 3 3 0. 0. 0. 1.99 1.99 3. 583.064 201.98 3.462 1106 527 1084
6 3 3 0.514 0.514 0.514 0.99 0.99 3. 251.9 125.98 3.498 253 247 186
6 3 3 0. 0. 0. 2. 0.5 3. 565.75 204. 3.511 1342 455 1320
6 3 3 0. 0. 0. 2. 1.792 3. 747.405 272.95 3.445 2125 1271 2103
