x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.567 0 0 0
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.468 0 0 0
6 3 3 0.25 0.25 0.25 0.25 0.25 3. 23. 23. 3.531 15 15 11
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.491 0 0 0
6 3 3 0. 0. 0. 2. 2. 3. 196. 196. 3.448 0 0 0
6 3 3 0. 0. 0. 0.666 0.666 3. 192. 192. 3.528 0 0 0
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.481 0 0 0
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.485 0 0 0
6 3 3 0.333 0.333 0.333 0. 0. 3. 0. 0. 3.511 16 16 12
6 3 3 0.415 0.415 0.415 1. 1. 3. 104.198 104.198 3.455 155 155 149
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.518 0 0 0
6 3 3 0. 0. 0. 0.5 0.5 3. 20. 20. 3.521 0 0 0
6 3 3 0. 0. 0. 1.666 1.666 3. 330. 330. 3.478 0 0 0
6 3 3 0.666 0.666 0.666 0.333 0.333 3. 26. 26. 3.488 30 30 22
6 3 3 0.9 0.9 0.9 1.257 1.257 3. 58.78 58.78 3.537 61 61 54
6 3 3 0.25 0.25 0.25 0. 0. 3. 0. 0. 3.511 17 17 15
6 3 3 0.475 0.475 0.475 0.97 0.97 3. 191.816 191.816 3.481 265 265 263
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.534 0 0 0
6 3 3 0.554 0.554 0.554 2.702 2.465 3. 109.178 72.311 3.478 233 127 180
6 3 3 0.435 0.435 0.435 0. 0. 3. 0. 0. 3.468 25 25 22
6 3 3 1. 1. 1. 1. 1. 3. 13. 13. 3.511 17 17 15
6 3 3 0.415 0.415 0.415 0. 0. 3. 0. 0. 3.478 25 25 22
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.475 0 0 0
6 3 3 0.405 0.405 0.405 0.029 0.029 3. 95.5 95.5 3.455 70 70 66
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.488 0 0 0
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.547 0 0 0
6 3 3 1. 1. 1. 2. 2. 3. 7.5 7.5 3.481 18 18 18
6 3 3 0. 0. 0. 0.594 0.594 3. 266.783 266.783 3.445 0 0 0
6 3 3 0. 0. 0. 0.5 0.5 3. 44. 44. 3.475 0 0 0
6 3 3 0.333 0.333 0.333 0.666 0.666 3. 14.5 9.5 3.468 32 29 26
6 3 3 0.247 0.247 0.247 0.742 0.742 3. 42.99 33.12 3.528 116 73 112
6 3 3 0. 0. 0. 0.333 0.333 3. 79. 79. 3.557 0 0 0
6 3 3 0.455 0.455 0.455 1.445 1.445 3. 122.39 102.335 3.518 176 170 148
6 3 3 0. 0. 0. 1.5 1.5 3. 73.75 73.75 3.485 0 0 0
6 3 3 0. 0. 0. 1. 1. 3. 290. 290. 3.518 0 0 0
6 3 3 0. 0. 0. 1. 1. 3. 104.5 104.5 3.554 0 0 0
6 3 3 0.158 0.158 0.158 0.594 0.594 3. 65.068 56.806 3.471 144 99 138
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.471 0 0 0
6 3 3 0.099 0.099 0.099 1.544 1.544 3. 197.41 189.99 3.508 536 296 528
6 3 3 0.5 0.564 0.5 1. 0.019 3. 33.5 20. 3.491 63 54 59
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.481 0 0 0
6 3 3 0. 0. 0. 1. 1. 3. 156. 156. 3.528 0 0 0
6 3 3 0. 0. 0. 1.5 1.5 3. 289.25 289.25 3.491 0 0 0
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.504 0 0 0
6 3 3 0. 0. 0. 2. 2. 3. 285. 285. 3.521 0 0 0
6 3 3 0. 0. 0. 1. 1. 3. 30. 30. 3.544 0 0 0
6 3 3 0.333 0.333 0.333 0. 0. 3. 0. 0. 3.508 17 17 15
6 3 3 0.455 0.455 0.455 0.009 0.009 3. 25. 25. 3.471 30 30 22
6 3 3 0. 0. 0. 1.99 1.99 3. 259.821 259.821 3.462 0 0 0
6 3 3 0.514 0.514 0.514 1.504 1.504 3. 182.63 149.86 3.498 253 247 175
6 3 3 0. 0. 0. 0.5 0.5 3. 261. 261. 3.511 0 0 0
6 3 3 0. 0. 0. 1.792 1.792 3. 368.702 368.702 3.445 0 0 0
6 3 3 0.333 0.333 0.333 0. 0. 3. 0. 0. 3.528 22 22 22
6 3 3 0.5 0.5 0.5 0. 0. 3. 0. 0. 3.508 17 17 15
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.504 0 0 0
6 3 3 0.428 0.428 0.428 1.285 1.285 3. 31. 26.083 3.574 45 45 32
6 3 3 0.891 0.9 0.891 1.148 1.158 3. 81.155 80.94 3.458 188 143 180
6 3 3 0.455 0.455 0.455 0. 0. 3. 0. 0. 3.528 136 136 127
6 3 3 0.435 0.435 0.435 2.059 2.059 3. 1466.62 1276.35 3.501 4458 3151 4440
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.475 0 0 0
6 3 3 0. 0. 0. 0.4 0.4 3. 189.5 189.5 3.528 0 0 0
6 3 3 0. 0. 0. 1. 1. 3. 96.5 96.5 3.521 0 0 0
6 3 3 0.5 0.5 0.5 0.5 0.5 3. 28. 28. 3.491 42 36 36
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.514 0 0 0
6 3 3 0. 0. 0. 0.75 0.75 3. 137.666 137.666 3.521 0 0 0
6 3 3 0.465 0.465 0.465 0.009 0.009 3. 19. 19. 3.511 24 24 22
6 3 3 0.2 0.2 0.2 1.4 1.4 3. 242.722 205.722 3.514 361 361 320
6 3 3 0. 0. 0. 0.009 0.009 3. 224. 224. 3.544 0 0 0
6 3 3 0. 0. 0. 0.2 0.2 3. 20. 20. 3.524 0 0 0
6 3 3 0.415 0.415 0.415 1.415 1.415 3. 146.9 124.925 3.528 212 212 155
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.452 0 0 0
6 3 3 0.396 0.396 0.396 1.376 1.376 3. 698.343 629.035 3.475 1131 1125 643
6 3 3 0.5 0.5 0.5 0. 0. 3. 0. 0. 3.488 78 78 27
6 3 3 0. 0. 0. 2. 2. 3. 441. 441. 3.524 0 0 0
6 3 3 0. 0. 0. 1. 1. 3. 57.5 57.5 3.524 0 0 0
6 3 3 0. 0. 0. 0.5 0.5 3. 141. 141. 3.521 0 0 0
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.537 0 0 0
6 3 3 0.495 0.495 0.495 0. 0. 3. 0. 0. 3.501 35 35 33
6 3 3 0. 0. 0. 0. 0. 3. 0. 0. 3.511 0 0 0
