x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
1 3 6 0. 0. 0. 1. 0. 3. 29. 0. 4.429 56 25 48
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.544 16 16 12
1 3 6 0. 0. 0. 1. 0.5 3. 34. 22. 4.537 55 34 45
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.468 19 19 19
1 3 6 0.485 0.485 0.485 0. 0. 3. 0. 0. 4.547 31 31 31
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.422 22 22 22
1 3 6 1. 1. 1. 1. 1. 3. 16. 16. 4.366 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.462 55 43 55
1 3 6 0. 0. 0. 1. 1. 3. 32. 23. 4.405 58 35 54
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.574 50 29 48
1 3 6 0. 0. 0. 1. 1. 3. 22. 10. 4.438 32 29 26
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.438 21 21 19
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.478 57 51 45
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.386 57 57 45
1 3 6 0.594 0.594 0.594 0. 0. 3. 0. 0. 4.419 31 31 31
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.359 44 32 42
1 3 6 1. 1. 1. 1. 1. 3. 15. 15. 4.432 23 23 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.382 22 22 22
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.653 43 37 43
1 3 6 0.534 0.534 0.534 0. 0. 3. 0. 0. 4.452 31 31 31
1 3 6 1. 1. 1. 1. 1. 3. 19. 19. 4.541 27 27 27
1 3 6 1. 1. 1. 1. 1. 3. 28. 13. 4.564 38 31 36
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.63 66 66 66
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.534 34 29 26
1 3 6 0. 0. 0. 1. 1. 3. 13. 13. 4.366 21 21 21
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.405 20 20 18
1 3 6 0. 0. 0. 1. 1. 3. 26. 13. 4.537 48 29 48
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.468 18 18 18
1 3 6 0.5 0.25 0.5 1. 0.75 3. 44. 26.333 4.425 67 50 63
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.435 49 37 49
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.399 21 21 21
1 3 6 1. 1. 1. 1. 1. 3. 16. 16. 4.369 21 21 21
1 3 6 0. 0. 0. 1. 1. 3. 25. 11. 4.465 56 25 48
1 3 6 0. 0. 0. 1. 0. 3. 21. 0. 4.429 59 21 57
1 3 6 0. 0. 0. 1. 1. 3. 31. 13. 4.402 59 31 57
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.475 20 20 16
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.534 21 21 19
1 3 6 0. 0. 0. 1. 1. 3. 26. 13. 4.765 42 29 42
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.369 22 22 22
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.521 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.623 37 33 31
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.541 22 22 22
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.405 19 19 19
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.603 20 20 18
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.495 24 24 24
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.63 20 20 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.729 17 17 15
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.63 45 45 43
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.613 36 29 30
1 3 6 0.514 0.514 0.514 0. 0. 3. 0. 0. 4.528 31 31 31
1 3 6 2. 2. 2. 1. 1. 3. 10. 10. 4.405 21 21 21
1 3 6 0. 0. 0. 1. 1. 3. 30. 15. 4.607 36 29 30
1 3 6 0. 0. 0. 1. 0. 3. 27. 0. 4.561 52 21 48
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.432 25 25 25
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.567 21 21 21
1 3 6 0.465 0.465 0.465 0. 0. 3. 0. 0. 4.475 31 31 31
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.432 36 36 30
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.528 43 37 43
1 3 6 0.455 0.455 0.455 0. 0. 3. 0. 0. 4.452 31 31 31
1 3 6 0.455 0.455 0.455 0. 0. 3. 0. 0. 4.561 31 31 31
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.643 18 18 18
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.495 27 27 27
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.587 16 16 12
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.534 49 43 49
1 3 6 1. 1. 1. 1. 1. 3. 13. 13. 4.574 21 21 21
1 3 6 0. 0. 0. 1. 1. 3. 34. 16.5 4.597 69 36 63
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.584 22 22 22
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.465 54 48 48
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.481 38 29 36
1 3 6 0. 0. 0. 1. 1. 3. 32. 16. 4.504 38 29 36
1 3 6 0. 0. 0. 1. 1. 3. 26. 12. 4.547 32 29 26
1 3 6 0.504 0.504 0.504 0. 0. 3. 0. 0. 4.389 31 31 31
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.531 49 49 49
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.531 15 15 11
1 3 6 0. 0. 0. 1. 1. 3. 26. 13. 4.462 44 29 42
1 3 6 0.504 0.504 0.504 0. 0. 3. 0. 0. 4.389 31 31 31
1 3 6 0.435 0.435 0.435 0. 0. 3. 0. 0. 4.623 31 31 31
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.462 60 60 54
