x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.429 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.544 16 16 12
1 3 6 0. 0. 0. 0.5 0.5 3. 22. 22. 4.537 0 0 0
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.468 16 16 12
1 3 6 0.485 0.485 0.485 0. 0. 3. 0. 0. 4.547 31 31 31
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.422 20 20 18
1 3 6 1. 1. 1. 1. 1. 3. 16. 16. 4.366 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.462 0 0 0
1 3 6 0. 0. 0. 1. 1. 3. 22. 22. 4.405 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.574 50 29 48
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.438 0 0 0
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.438 20 20 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.478 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.386 57 57 45
1 3 6 0.594 0.594 0.594 0. 0. 3. 0. 0. 4.419 31 31 31
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.359 0 0 0
1 3 6 1. 1. 1. 1. 1. 3. 15. 15. 4.432 23 23 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.382 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.653 0 0 0
1 3 6 0.534 0.534 0.534 0. 0. 3. 0. 0. 4.452 31 31 31
1 3 6 1. 1. 1. 2. 2. 3. 12. 12. 4.541 27 27 27
1 3 6 1. 1. 1. 2. 2. 3. 16.5 9. 4.564 38 31 36
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.63 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.534 0 0 0
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.366 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.405 20 20 18
1 3 6 0. 0. 0. 1. 1. 3. 8. 8. 4.537 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.468 0 0 0
1 3 6 0.5 0.25 0.5 1.5 1. 3. 27.25 22.666 4.425 62 42 54
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.435 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.399 21 21 21
1 3 6 1. 1. 1. 1. 1. 3. 16. 16. 4.369 21 21 21
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.465 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.429 0 0 0
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.402 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.475 0 0 0
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.534 16 16 12
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.765 0 0 0
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.369 20 20 18
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.521 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.623 0 0 0
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.541 17 17 15
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.405 18 18 18
